level_0,index,Tweet,Target 1,Stance 1,Opinion Towards,Sentiment,Tweet Id,background
400,400,@GovAndyBeshear Would you rather have loss of JOBS or loss of LIVES on your conscious? Especially with opening schools where most kids are attending. COVID cases are going to spread more rapidly than ever. Why take the “let’s wait and see approach?”,stay at home orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28e+18,"In response to the COVID-19 pandemic, numerous stay-at-home orders, curfews, and quarantines were implemented globally. Some regions referred to these orders as shelter-in-place while others used the term stay-at-home. Governor Andrew Cuomo of New York pointed out the negative connotations associated with the term shelter-in-place, suggesting it could incite panic. Despite the widespread implementation of these orders, there remains a lack of clear authority at both the federal and state level to mandate lockdowns. The public opinion towards stay-at-home orders and nonessential business closures varied, with 55% of US adults surveyed in support of these measures during the COVID-19 pandemic."
401,401,"#SocialDistancing is the only option to stop the spread of #COVID19. Protect yourself and your loved ones by staying at home!
#IndiaFightsCOVID19 
",stay at home orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.24e+18,"Stay at home orders are also known as safer-at-home orders, movement control orders in Southeast Asia, or lockdown restrictions in the UK. These orders are put in place by government authorities to limit movement during epidemics or pandemics, often referred to as (self-) quarantine, (self-) isolation, or lockdown. An example of this was seen in the San Francisco Bay Area in March 2020 during the COVID-19 outbreak, where a shelter-in-place order was issued. Studies have shown that stay-at-home orders effectively encourage people to remain at home, and numerous such orders were implemented globally in response to the COVID-19 pandemic."
402,402,"When you have people listening to you (as dumb as they are). It means you need to watch your fucking mouth. COVID IS NOT A JOKE. It's not the fucking flu, it's not pnemonia. It's SARS-CoV-2 #StayAtHome",stay at home orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29e+18,"Stay-at-home orders, colloquially known as quarantine or lockdown, have been implemented globally in response to the COVID-19 pandemic. Some officials have expressed concerns about the term ""lockdown"" potentially conveying the wrong message, leading to misconceptions about the nature of the restrictions. In the United States, various terms such as shelter-in-place order and stay-at-home order have been used interchangeably by authorities to enforce restrictions aimed at controlling the outbreak. Studies have shown that these orders effectively influence people to remain at home during a crisis."
403,403,"@AusDebater @JVartndesign @jillastark No, we have vaccines for the plague.  And antibiotics.
COVID19 is a virus (antibiotics don't work) and there is no vaccine yet.  If not for modern hygiene, hospital care, ventilators and of course social distancing, this virus would be killing many more.",stay at home orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1.29e+18,"The term stay-at-home orders refers to restrictions imposed on the entire population of an area to prevent the spread of illness, such as COVID-19. This concept differs from quarantines, which typically isolate only individuals believed to be potentially infectious. Slang terms like ""iso"" in Australia are commonly used to describe self-isolation measures. Stay-at-home orders, along with quarantines and curfews, have been implemented worldwide in response to the COVID-19 pandemic."
404,404,"@thehill Me to 8yr old: Do you miss school? Are you excited to go back? 

8yo: ALREADY?! NOOO!

Believe it or not, our kids DO love us &amp; loke being @home with us. Mine love having their dad wk from home. 
And when school starts in Aug. they’ll be safe at home w/us then too.",stay at home orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28e+18,"Stay-at-home orders, also known as quarantine or lockdown, have raised concerns among officials that the term ""lockdown"" might give the wrong impression of door-to-door searches for infected individuals akin to the Hubei lockdown. Some schools conduct lockdown drills regularly for students of all grade levels. Some regions permit individuals to leave their homes as long as they avoid close contact with non-household members or exceed the specified numbers of people allowed by the jurisdiction. A study in 2021 revealed that stay-at-home orders were effective in encouraging people to remain at home. In May 2020, only 5% of surveyed US adults supported stay-at-home orders and the closure of nonessential businesses as COVID-19 mitigation strategies."
405,405,"@sgtfible @CristinaAlesci @Walmart If you catch COVID19 and expire because you're too stupid to wear a mask or social distance, then yeah, you probably WON'T shop there anymore. #Dumbass #COVIDIOTS #TrumpVirus #WearADamnMask",stay at home orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28e+18,"When the authorities in the San Francisco Bay Area issued a stay-at-home order in March 2020 to combat COVID-19, they referred to it as a shelter-in-place order. Such orders can have varying scopes, with definitions of essential activities differing. Some orders permit outdoor activities, but social distancing rules usually apply when residents leave their homes. A 2021 study highlighted that stay-at-home orders effectively kept people at home during the pandemic. Stay-at-home orders and similar restrictions were widely implemented globally in response to the COVID-19 pandemic, with some public support for these measures in the US."
406,406,"People who refused to #WearAMask show up sick in #Arizona hospitals desperate for help to save their lives. Suddenly it's no longer a #hoaxvirus for them. How many people did they infect? @dougducey @drcarachrist
#Republicans 

#Covid19 #stayhome",stay at home orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28e+18,"In response to the COVID-19 pandemic, various stay-at-home orders, shelter-in-place orders, and similar restrictions were implemented globally to control the outbreak. These orders were aimed at reducing the spread of the virus by limiting people's movements and interactions. A study conducted in 2021 showed that stay-at-home orders effectively encouraged individuals to stay at home. Public opinion regarding these orders varied, with 5% of US adults surveyed showing support for stay-at-home mandates and nonessential business closures as government responses to COVID-19."
407,407,"@PeterNavarro45 racist #TrumpChump #Cult45. #WhiteHouse  #CNN 

#COVID19 #WearAMaskSaveALife ",stay at home orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28e+18,"The term ""stay-at-home order"" was preferred over ""shelter-in-place"" by Governor Newsom of California to avoid causing panic associated with active shooting situations or nuclear wars. A study in 2021 found that these orders effectively influenced people to stay home during the COVID-19 pandemic. The enforcement of numerous stay-at-home orders, curfews, and quarantines globally was a common response to mitigate the spread of COVID-19. Governor Cuomo of New York criticized the use of ""shelter-in-place"" due to its negative connotations and potential for inducing fear among the public."
408,408,"We can get through this crazy time together but for now this is not funny it’s something to take serious it’s not right to put people or yourself in danger just because you don’t think COVID-19 isn’t real because it is real, take it seriously",stay at home orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1.29e+18,"The term ""stay at home orders"" is a measure implemented in various regions as part of efforts to combat the outbreak of COVID-19. This measure is also referred to as a shelter-in-place order, which can sometimes be confused with a more severe shelter-in-place situation associated with emergencies like active shooters or nuclear threats. Different forms of restrictions such as stay-at-home orders, curfews, and quarantines have been put in place globally to respond to the challenges posed by the COVID-19 pandemic."
409,409,@nytimes We have descended into a species with a 30 second attention span. Being vigilant for 2 weeks is clearly impossible. #WearAMask,stay at home orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28e+18,"In the context of stay-at-home orders, Governor Andrew Cuomo of New York expressed his disapproval of the term ""shelter-in-place"" due to its potential to instigate fear associated with emergencies like active shootings or nuclear threats. Some orders permit residents to engage in outdoor activities with the enforcement of social distancing measures when they leave their homes. A study in 2021 highlighted that stay-at-home orders effectively influenced people to remain at home during the COVID-19 pandemic. A majority of US adults surveyed in May 2020 supported the implementation of stay-at-home orders and closures of nonessential businesses as strategies to combat the spread of COVID-19."
410,410,@McAlistersDeli Right .. for 2$ less savings for staying home . #StayAtHome,stay at home orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29e+18,"The term ""stay at home orders"" or ""shelter-in-place orders"" has been used during the COVID-19 pandemic to instruct residents to remain in their homes to help control the spread of the virus. In some jurisdictions, there is a distinction between the two terms. In Australia, colloquially, the term ""iso"" is often used to refer to stay-at-home orders. Studies have shown that such orders have been effective in influencing people to stay home and limit their movements."
